

Category,Transaction_Id
Lunettes de soleil de marque Ray-Ban avec verres photochromiques pour femme,90
Lunettes de soleil de marque Ray-Ban avec verres anti-reflets pour homme,91
Lunettes de soleil de marque Ray-Ban avec verres anti-reflets pour femme,92
Lunettes de vue pour enfants de marque,1
Lunettes de vue pour enfants de forme ronde,2
Lunettes de vue pour enfants de forme carrée,3
Lunettes de vue pour enfants de forme ovale,4
Lunettes de vue pour enfants de forme papillon,5
Lunettes de vue pour enfants de forme aviateur,6
Lunettes de soleil pour enfants de marque,7
Lunettes de soleil pour enfants de forme ronde,8
Lunettes de soleil pour enfants de forme carrée,9
Lunettes de soleil pour enfants de forme ovale,10
Lunettes de soleil pour enfants de forme papillon,11
Lunettes de soleil pour enfants de forme aviateur,12
Lunettes de vue pour adultes de marque,13
Lunettes de vue pour adultes de forme ronde,14
Lunettes de vue pour adultes de forme carrée,15
Lunettes de vue pour adultes de forme ovale,16
Lunettes de vue pour adultes de forme papillon,17
Lunettes de vue pour adultes de forme aviateur,18
Lunettes de soleil pour adultes de marque,19
Lunettes de soleil pour adultes de forme ronde,20
Lunettes de soleil pour adultes de forme carrée,21
Lunettes de soleil pour adultes de forme ovale,22
Lunettes de soleil pour adultes de forme papillon,23
Lunettes de soleil pour adultes de forme aviateur,24
Lunettes de vue pour myopie de marque,25
Lunettes de vue pour myopie de forme ronde,26
Lunettes de vue pour myopie de forme carrée,27
Lunettes de vue pour myopie de forme ovale,28
Lunettes de vue pour myopie de forme papillon,29
Lunettes de vue pour hypermétropie de marque,30
Lunettes de vue pour hypermétropie de forme ronde,31
Lunettes de vue pour hypermétropie de forme carrée,32
Lunettes de vue pour hypermétropie de forme ovale,33
Lunettes de vue pour hypermétropie de forme papillon,34
Lunettes de vue pour presbytie de marque,35
Lunettes de vue pour presbytie de forme ronde,36
Lunettes de vue pour presbytie de forme carrée,37
Lunettes de vue pour presbytie de forme ovale,38
Lunettes de vue pour presbytie de forme papillon,39
Lunettes de vue pour astigmatisme de marque,40
Lunettes de vue pour astigmatisme de forme ronde,41
Lunettes de vue pour astigmatisme de forme carrée,42
Lunettes de vue pour astigmatisme de forme ovale,43
Lunettes de vue pour astigmatisme de forme papillon,44
Lunettes de vue pour vue de loin de marque,45
Lunettes de vue pour vue de loin de forme ronde,46
Lunettes de vue pour vue de loin de forme carrée,47
Lunettes de vue pour vue de loin de forme ovale,48
Lunettes de vue pour vue de loin de forme papillon,49
